id,locality,price_cr,sqft
126,Chembur,2.21,1147
127,Powai,2.93,717
128,Worli,6.58,1564
129,Bandra East,5.76,1451
130,Worli,7.44,1684
131,Chembur,6.63,795
132,Borivali West,4.14,1454
133,Borivali West,6.48,750
134,Borivali West,1.72,1064
135,Worli,3.55,817
136,Chembur,4.24,888
137,Borivali West,5.76,1364
138,Andheri West,7.06,1146
139,Andheri West,1.62,1308
140,Borivali West,6.57,1651
141,Chembur,2.82,994
142,Chembur,4.41,1473
143,Borivali West,6.2,966
144,Powai,4.56,1631
145,Andheri West,3.99,686
146,Powai,1.46,806
147,Powai,6.82,1220
148,Andheri West,6.73,1470
149,Powai,5.17,1749
150,Borivali West,5.98,1436
151,Chembur,6.77,768
152,Andheri West,4.67,1189
153,Borivali West,2.37,840
154,Bandra East,1.6,1348
155,Worli,1.57,1368
156,Borivali West,4.07,612
157,Worli,3.68,1781
158,Worli,1.41,1224
159,Worli,4.33,967
160,Worli,1.34,1629
161,Bandra East,4.95,708
162,Bandra East,7.42,690
163,Worli,4.2,871
164,Powai,7.57,1670
165,Worli,2.89,1561
166,Andheri West,3.83,1544
167,Worli,5.37,945
168,Chembur,6.12,1340
169,Andheri West,3.31,1771
170,Borivali West,3.95,955
171,Bandra East,1.46,1687
172,Andheri West,8.07,1248
173,Worli,2.17,1465
174,Borivali West,2.6,1591
175,Powai,6.03,1216
176,Powai,5.26,1682
177,Powai,6.15,714
178,Andheri West,3.64,1561
179,Chembur,7.76,1289
180,Andheri West,5.03,1568
181,Powai,2.33,1500
182,Powai,2.25,656
183,Chembur,6.39,647
184,Powai,2.97,1578
185,Chembur,2.69,662
186,Chembur,1.88,995
187,Chembur,4.86,899
188,Worli,6.89,777
189,Bandra East,3.14,1269
190,Powai,2.05,702
191,Powai,5.2,682
192,Bandra East,6.79,1344
193,Powai,7.57,1029
194,Powai,6.57,1388
195,Andheri West,5.3,1378
196,Powai,6.55,1437
197,Powai,4.57,1027
198,Powai,8.22,1406
199,Andheri West,4.93,1422
200,Andheri West,6.66,1712
201,Andheri West,3.76,1503
202,Andheri West,1.75,1271
203,Andheri West,2.56,917
204,Chembur,6.32,1366
205,Borivali West,5.59,1068
206,Chembur,6.06,1726
207,Worli,8.37,1346
208,Borivali West,6.01,652
209,Powai,2.78,1204
210,Worli,3.19,979
211,Chembur,4.52,1265
212,Borivali West,1.54,1705
213,Powai,5.42,1471
214,Powai,2.48,845
215,Powai,3.11,1650
216,Powai,5.83,781
217,Powai,5.17,640
218,Andheri West,2.3,713
219,Bandra East,2.4,944
220,Borivali West,2.41,1347
221,Chembur,7.92,1704
222,Worli,2.04,867
223,Chembur,8.24,705
224,Andheri West,5.45,659
225,Powai,7.63,1037
226,Borivali West,7.06,1699
227,Borivali West,8.36,780
228,Powai,4.46,817
229,Andheri West,7.96,689
230,Chembur,8.44,1650
231,Borivali West,3.17,829
232,Powai,6.14,1504
233,Borivali West,3.46,1641
234,Powai,5.24,850
235,Powai,1.63,1499
236,Powai,2.73,1562
237,Powai,3.5,1425
238,Andheri West,7.06,837
239,Borivali West,5.16,1658
240,Bandra East,8.09,1591
241,Worli,3.88,1629
242,Andheri West,6.08,1660
243,Andheri West,7.28,792
244,Andheri West,7.82,1251
245,Bandra East,7.67,1467
246,Bandra East,3.48,1613
247,Bandra East,3.61,690
248,Chembur,8.48,601
249,Bandra East,1.3,1103
250,Powai,7.5,782
251,Powai,4.11,1799
252,Chembur,3.27,1119
253,Andheri West,6.31,1057
254,Chembur,2.73,1416
255,Bandra East,7.31,1695
256,Bandra East,5.3,932
257,Andheri West,7.29,1122
258,Bandra East,7.82,1424
259,Chembur,4.73,1568
260,Bandra East,2.6,1336
261,Borivali West,4.91,1556
262,Powai,7.9,952
263,Powai,1.93,1668
264,Worli,7.44,1691
265,Andheri West,1.44,944
266,Bandra East,5.19,748
267,Bandra East,3.92,1733
268,Bandra East,4.23,1212
269,Borivali West,3.26,956
270,Andheri West,7.36,1065
271,Andheri West,2.76,606
272,Andheri West,1.73,1038
273,Chembur,2.96,618
274,Powai,3.53,1489
275,Andheri West,3.6,1048
276,Bandra East,7.82,793
277,Bandra East,7.96,620
278,Chembur,5.53,1431
279,Andheri West,4.91,1679
280,Bandra East,1.65,1607
281,Chembur,2.97,1466
282,Powai,7.16,1038
283,Borivali West,5.19,970
284,Worli,7.63,1259
285,Borivali West,3.56,1159
286,Bandra East,3.29,1194
287,Worli,5.35,1151
288,Andheri West,1.32,1182
289,Powai,1.93,1423
290,Borivali West,4.7,1619
291,Bandra East,1.78,889
292,Worli,3.37,923
293,Chembur,3.85,1717
294,Chembur,6.11,1453
295,Andheri West,1.87,1501
296,Chembur,4.15,1775
297,Worli,3.61,1635
298,Chembur,4.92,1008
299,Chembur,5.76,1458
300,Andheri West,1.6,767
301,Bandra East,7.52,1627
302,Bandra East,7.46,1399
303,Borivali West,6.2,1115
304,Worli,5.53,1523
305,Chembur,7.87,1690
306,Bandra East,1.39,1268
307,Borivali West,1.23,1654
308,Chembur,1.21,1729
309,Chembur,4.64,1059
310,Worli,4.92,677
311,Chembur,7.3,953
312,Andheri West,7.72,1682
313,Andheri West,6.48,1178
314,Bandra East,6.88,1512
315,Powai,5.42,1142
316,Chembur,5.73,801
317,Chembur,7.42,1022
318,Borivali West,4.67,991
319,Powai,3.7,1330
320,Chembur,6.78,1024
321,Bandra East,1.53,1571
322,Powai,5.59,1415
323,Borivali West,1.58,933
324,Bandra East,6.64,1456
325,Chembur,3.46,1285
326,Worli,4.59,1162
327,Worli,8.4,623
328,Powai,1.28,1210
329,Bandra East,5.82,1356
330,Bandra East,6.87,1292
331,Bandra East,6.56,1068
332,Andheri West,2.0,1025
333,Bandra East,5.5,1460
334,Bandra East,1.23,1727
335,Andheri West,3.01,1579
336,Bandra East,1.28,626
337,Andheri West,6.13,1382
338,Chembur,6.66,1247
339,Chembur,1.54,1435
340,Andheri West,3.86,825
341,Worli,8.41,1105
342,Worli,3.3,930
343,Chembur,2.95,1771
344,Powai,2.52,1040
345,Powai,6.51,1623
346,Powai,4.42,691
347,Powai,7.98,989
348,Chembur,4.6,1523
349,Powai,7.25,949
350,Bandra East,6.2,1659
351,Worli,7.57,1007
352,Bandra East,1.48,778
353,Andheri West,7.45,910
354,Borivali West,7.19,1319
355,Bandra East,2.06,888
356,Powai,6.13,1347
357,Andheri West,4.42,802
358,Borivali West,5.79,1172
359,Chembur,1.48,1422
360,Andheri West,8.02,1234
361,Bandra East,2.93,1227
362,Worli,8.03,990
363,Powai,4.1,1296
364,Andheri West,3.93,647
365,Bandra East,4.15,1026
366,Andheri West,6.37,1463
367,Powai,7.47,1042
368,Powai,3.12,1168
369,Worli,4.73,1261
370,Powai,2.05,861
371,Worli,7.14,1759
372,Andheri West,4.88,793
373,Chembur,6.37,1581
374,Worli,6.79,1498
375,Borivali West,5.68,1627
376,Chembur,3.96,867
377,Chembur,1.89,846
378,Powai,5.44,888
379,Chembur,8.28,1042
380,Bandra East,1.49,1722
381,Powai,4.34,1302
382,Bandra East,4.31,660
383,Borivali West,2.62,1153
384,Worli,6.63,1403
385,Andheri West,1.59,869
386,Worli,1.2,1630
387,Andheri West,7.02,899
388,Powai,5.37,1253
389,Borivali West,1.88,625
390,Chembur,3.32,1766
391,Bandra East,3.63,1294
392,Andheri West,7.34,877
393,Borivali West,3.18,744
394,Chembur,1.94,1476
395,Powai,6.35,1192
396,Worli,4.02,1552
397,Worli,4.58,1497
398,Chembur,3.16,1391
399,Borivali West,3.9,1154
400,Bandra East,2.59,1269
401,Chembur,5.69,1754
402,Borivali West,6.17,1657
403,Chembur,4.91,1148
404,Chembur,4.52,1741
405,Andheri West,8.41,848
406,Chembur,8.15,1744
407,Worli,3.33,944
408,Bandra East,1.44,905
409,Chembur,6.42,1463
410,Andheri West,4.47,845
411,Andheri West,3.14,672
412,Powai,4.55,1474
413,Borivali West,5.18,824
414,Andheri West,2.08,1799
415,Borivali West,6.32,1382
416,Powai,4.84,1504
417,Powai,6.6,675
418,Chembur,8.14,1392
419,Powai,2.69,1380
420,Borivali West,2.78,1154
421,Bandra East,2.48,1535
422,Andheri West,7.52,1668
423,Borivali West,2.63,788
424,Bandra East,6.96,1221
425,Worli,4.7,1026
426,Chembur,6.7,1749
427,Worli,8.49,675
428,Worli,3.73,1634
429,Bandra East,4.83,700
430,Borivali West,8.04,615
431,Powai,1.21,1562
432,Andheri West,7.26,782
433,Powai,5.71,1358
434,Worli,3.85,634
435,Worli,6.42,1387
436,Chembur,7.06,1668
437,Borivali West,4.79,1134
438,Borivali West,4.43,1040
439,Borivali West,1.63,921
440,Andheri West,6.36,1748
441,Worli,6.41,630
442,Powai,7.5,907
443,Powai,4.02,1245
444,Borivali West,6.52,1239
445,Andheri West,3.07,1292
446,Powai,4.45,624
447,Powai,3.46,1669
448,Bandra East,3.55,1308
449,Bandra East,7.69,933
450,Chembur,2.08,1023
451,Andheri West,7.73,1533
452,Worli,7.75,1082
453,Powai,7.55,680
454,Borivali West,2.28,897
455,Bandra East,7.39,1704
456,Chembur,6.99,1761
457,Borivali West,5.26,899
458,Borivali West,4.24,946
459,Worli,5.64,1239
460,Bandra East,3.19,1706
461,Bandra East,3.11,1252
462,Borivali West,5.6,1506
463,Bandra East,7.48,1341
464,Chembur,5.91,1745
465,Borivali West,7.12,747
466,Andheri West,5.45,1365
467,Bandra East,8.23,686
468,Bandra East,7.26,1629
469,Bandra East,2.33,865
470,Bandra East,3.14,1114
471,Bandra East,3.52,1607
472,Worli,3.02,1621
473,Chembur,4.06,1542
474,Powai,5.26,1058
475,Chembur,1.37,1173
476,Borivali West,6.25,728
477,Chembur,8.36,1789
478,Andheri West,4.39,1643
479,Bandra East,6.08,1356
480,Worli,6.08,1090
481,Borivali West,8.34,648
482,Worli,8.42,1310
483,Powai,6.11,1345
484,Worli,1.75,1221
485,Andheri West,3.71,1602
486,Andheri West,4.91,1228
487,Bandra East,3.22,1682
488,Borivali West,5.22,1619
489,Andheri West,6.22,1329
490,Andheri West,3.02,1513
491,Borivali West,4.91,1214
492,Powai,4.74,680
493,Bandra East,4.7,1502
494,Chembur,3.06,1586
495,Andheri West,1.91,1374
496,Bandra East,6.97,751
497,Powai,4.17,715
498,Worli,4.73,773
499,Worli,1.72,667
500,Powai,4.64,919
501,Powai,1.29,1185
502,Chembur,5.42,1146
503,Worli,3.45,1678
504,Chembur,1.39,944
505,Powai,1.48,1554
506,Borivali West,5.73,963
507,Bandra East,2.41,1149
508,Bandra East,1.46,982
509,Borivali West,7.65,1078
510,Bandra East,2.57,766
511,Chembur,8.34,942
512,Powai,1.85,1096
513,Powai,4.44,1133
514,Bandra East,4.92,923
515,Worli,6.35,1652
516,Bandra East,5.66,1587
517,Andheri West,1.25,1569
518,Worli,3.78,1562
519,Bandra East,2.57,1313
520,Andheri West,1.91,800
521,Andheri West,5.87,1055
522,Borivali West,3.81,1203
523,Powai,8.0,1235
524,Worli,1.44,620
525,Andheri West,1.28,1721
526,Worli,4.49,1517
527,Andheri West,4.26,1776
528,Andheri West,2.25,1197
529,Worli,5.9,1236
530,Bandra East,2.81,1602
531,Worli,5.16,1309
532,Bandra East,2.05,647
533,Andheri West,2.01,1149
534,Worli,5.49,1115
535,Worli,4.33,1270
536,Borivali West,5.04,1659
537,Chembur,2.42,1441
538,Powai,4.22,1522
539,Borivali West,2.59,1116
540,Chembur,6.73,1526
541,Powai,5.18,862
542,Bandra East,2.16,1080
543,Andheri West,3.86,1038
544,Powai,2.91,1505
545,Powai,8.48,1499
546,Powai,5.82,1216
547,Chembur,8.5,1087
548,Andheri West,8.13,1438
549,Bandra East,3.84,1798
550,Chembur,2.39,712
551,Bandra East,4.0,725
552,Chembur,5.37,624
553,Chembur,7.68,909
554,Andheri West,1.93,654
555,Borivali West,1.54,669
556,Andheri West,7.57,1779
557,Worli,3.6,614
558,Andheri West,4.88,842
559,Borivali West,3.79,794
560,Bandra East,5.23,1080
561,Worli,4.42,738
562,Bandra East,8.08,956
563,Worli,7.57,1365
564,Bandra East,4.26,1427
565,Bandra East,4.3,655
566,Borivali West,2.46,1720
567,Worli,2.86,1506
568,Borivali West,3.59,608
569,Worli,3.65,1084
570,Bandra East,8.01,1659
571,Borivali West,1.77,1509
572,Chembur,3.08,705
573,Worli,1.84,1762
574,Borivali West,5.79,1118
575,Powai,1.27,1173
576,Andheri West,3.55,1680
577,Bandra East,5.39,1179
578,Powai,1.89,1551
579,Worli,6.55,1465
580,Powai,3.99,1001
581,Chembur,4.59,1197
582,Chembur,6.32,1284
583,Borivali West,6.09,1776
584,Andheri West,6.01,732
585,Powai,6.84,1745
586,Borivali West,4.49,968
587,Chembur,5.12,1796
588,Chembur,7.15,821
589,Chembur,6.69,1157
590,Powai,6.1,1609
591,Borivali West,3.74,1298
592,Bandra East,1.93,1476
593,Powai,1.37,1184
594,Andheri West,6.64,794
595,Powai,7.58,1720
596,Andheri West,3.92,1789
597,Andheri West,3.14,705
598,Worli,8.35,1647
599,Bandra East,2.7,1427
600,Bandra East,5.85,1425
601,Bandra East,3.98,1170
602,Bandra East,3.42,899
603,Worli,3.11,1604
604,Powai,7.53,1030
605,Chembur,1.36,1580
606,Chembur,1.58,1378
607,Chembur,2.93,688
608,Bandra East,7.58,617
609,Andheri West,1.54,1484
610,Borivali West,8.33,718
611,Worli,3.51,1619
612,Borivali West,4.58,936
613,Andheri West,7.89,934
614,Borivali West,2.52,1557
615,Andheri West,5.72,999
616,Andheri West,4.62,1230
617,Chembur,1.82,736
618,Powai,2.24,1644
619,Borivali West,3.21,1664
620,Borivali West,1.6,745
621,Worli,5.25,1160
622,Borivali West,5.77,1148
623,Worli,2.68,1012
624,Powai,5.59,1689
625,Bandra East,4.4,1124
626,Chembur,7.7,1658
627,Bandra East,1.84,777
628,Andheri West,6.71,688
629,Andheri West,3.97,1421
630,Bandra East,1.62,769
631,Borivali West,1.21,711
632,Bandra East,6.29,1618
633,Andheri West,3.17,1049
634,Andheri West,1.45,1073
635,Bandra East,2.48,1559
636,Borivali West,8.34,1427
637,Borivali West,8.25,1798
638,Bandra East,5.96,1661
639,Worli,4.97,1308
640,Andheri West,6.3,831
641,Chembur,4.6,760
642,Chembur,1.45,690
643,Powai,1.89,1146
644,Powai,7.08,1046
645,Bandra East,1.53,1248
646,Andheri West,4.48,1489
647,Borivali West,4.98,635
648,Bandra East,6.78,1383
649,Chembur,7.49,1440
650,Chembur,7.34,1687
651,Bandra East,4.25,1397
652,Bandra East,5.61,1560
653,Bandra East,1.52,1465
654,Chembur,6.31,1003
655,Andheri West,2.9,715
656,Worli,6.28,1480
657,Borivali West,6.56,1566
658,Bandra East,7.27,1085
659,Powai,7.38,1310
660,Borivali West,5.93,704
661,Andheri West,5.9,1342
662,Andheri West,7.33,669
663,Borivali West,2.3,1417
664,Borivali West,7.61,1309
665,Andheri West,5.61,1711
666,Bandra East,6.81,1437
667,Andheri West,3.3,1275
668,Andheri West,6.72,1059
669,Powai,4.41,1342
670,Worli,1.52,811
671,Borivali West,5.38,1782
672,Powai,7.34,1546
673,Andheri West,2.73,1332
674,Chembur,4.59,1703
675,Borivali West,5.93,1434
676,Bandra East,6.22,1326
677,Borivali West,4.67,1435
678,Bandra East,1.57,1110
679,Bandra East,4.84,1388
680,Worli,2.6,924
681,Andheri West,6.9,760
682,Chembur,1.64,1608
683,Powai,7.55,1074
684,Andheri West,8.38,1109
685,Worli,2.04,1752
686,Andheri West,5.05,1179
687,Worli,6.04,645
688,Borivali West,5.07,1571
689,Chembur,4.27,1068
690,Chembur,6.43,955
691,Chembur,4.13,915
692,Borivali West,1.32,1719
693,Worli,2.84,1614
694,Borivali West,4.93,677
695,Borivali West,4.3,1715
696,Worli,1.34,1494
697,Powai,1.83,1256
698,Borivali West,4.12,1189
699,Worli,3.33,1066
700,Chembur,3.1,797
701,Bandra East,2.23,616
702,Chembur,7.56,1565
703,Powai,8.06,1255
704,Powai,4.46,1575
705,Bandra East,4.39,1139
706,Bandra East,7.73,1652
707,Chembur,8.16,1539
708,Bandra East,6.47,1343
709,Chembur,6.85,1627
710,Powai,8.25,780
711,Borivali West,1.66,1433
712,Borivali West,2.48,1108
713,Worli,8.48,1640
714,Worli,6.2,1539
715,Bandra East,8.16,740
716,Andheri West,5.11,1349
717,Worli,4.32,1590
718,Bandra East,2.93,1183
719,Bandra East,6.68,1316
720,Andheri West,2.62,1657
721,Borivali West,3.84,1075
722,Borivali West,4.55,1418
723,Borivali West,4.13,1495
724,Borivali West,2.04,1232
725,Powai,2.71,1291
726,Bandra East,2.55,740
727,Worli,2.21,1618
728,Chembur,2.85,1327
729,Powai,3.38,1079
730,Bandra East,1.5,1076
731,Chembur,7.92,1756
732,Bandra East,2.33,1419
733,Powai,2.29,1129
734,Andheri West,3.09,1541
735,Bandra East,2.57,976
736,Bandra East,2.76,1418
737,Worli,6.8,608
738,Andheri West,2.52,1797
739,Borivali West,1.72,1511
740,Bandra East,5.17,1199
741,Bandra East,2.72,844
742,Chembur,2.69,811
743,Bandra East,5.38,1198
744,Chembur,3.56,931
745,Andheri West,7.04,1718
746,Chembur,3.41,1101
747,Chembur,5.23,685
748,Powai,7.15,1154
749,Andheri West,7.8,1287
750,Andheri West,7.23,1093
751,Worli,5.33,1736
752,Powai,6.76,1721
753,Bandra East,2.28,689
754,Powai,5.73,911
755,Worli,5.44,1539
756,Worli,5.45,1107
757,Powai,5.51,1765
758,Andheri West,3.61,1083
759,Worli,7.59,1553
760,Borivali West,7.23,1099
761,Chembur,7.21,1781
762,Andheri West,7.49,1110
763,Worli,5.84,1272
764,Andheri West,6.0,1153
765,Powai,5.67,813
766,Powai,6.07,1105
767,Bandra East,2.48,904
768,Andheri West,6.67,749
769,Worli,4.08,969
770,Bandra East,2.78,799
771,Worli,7.43,641
772,Chembur,5.02,1523
773,Chembur,7.27,1234
774,Borivali West,2.46,1439
775,Andheri West,2.11,1320
776,Worli,6.91,726
777,Bandra East,6.07,1384
778,Chembur,7.23,721
779,Chembur,8.0,1039
780,Andheri West,8.26,973
781,Powai,5.61,1079
782,Chembur,5.01,1523
783,Borivali West,1.52,610
784,Powai,3.59,1282
785,Bandra East,5.9,1278
786,Bandra East,3.63,706
787,Worli,2.21,874
788,Andheri West,8.21,1336
789,Powai,4.91,944
790,Bandra East,7.62,1676
791,Andheri West,6.75,1504
792,Borivali West,3.53,614
793,Andheri West,2.61,853
794,Borivali West,7.67,1164
795,Andheri West,5.86,856
796,Andheri West,2.23,1468
797,Powai,7.79,917
798,Andheri West,2.94,1096
799,Powai,6.45,1571
800,Borivali West,2.85,1424
801,Bandra East,8.23,1090
802,Powai,4.93,997
803,Powai,7.78,871
804,Andheri West,4.36,1085
805,Chembur,2.91,1204
806,Andheri West,2.46,1300
807,Bandra East,1.23,1625
808,Powai,3.64,1446
809,Andheri West,4.01,600
810,Bandra East,7.74,1261
811,Andheri West,7.76,1378
812,Chembur,6.66,1433
813,Borivali West,1.69,808
814,Bandra East,2.7,1245
815,Andheri West,8.02,1443
816,Chembur,1.76,632
817,Powai,6.8,1661
818,Powai,5.88,1109
819,Bandra East,2.27,614
820,Borivali West,6.12,916
821,Powai,7.55,1041
822,Borivali West,3.05,1162
823,Powai,4.17,919
824,Bandra East,5.21,661
825,Powai,1.43,1761
826,Powai,1.9,1368
827,Borivali West,1.25,665
828,Powai,3.81,1381
829,Borivali West,2.3,943
830,Chembur,4.07,832
831,Borivali West,7.39,1062
832,Bandra East,8.24,1474
833,Bandra East,4.2,766
834,Andheri West,5.33,1104
835,Powai,5.72,1712
836,Andheri West,3.87,1232
837,Powai,6.76,672
838,Chembur,4.91,1073
839,Powai,6.51,1439
840,Powai,7.32,1065
841,Powai,7.68,1096
842,Worli,7.54,1282
843,Powai,5.07,1475
844,Chembur,4.53,1125
845,Bandra East,3.09,1050
846,Powai,5.03,627
847,Bandra East,7.32,1468
848,Andheri West,4.24,943
849,Bandra East,1.25,933
850,Borivali West,6.47,1234
851,Powai,3.1,879
852,Powai,7.69,780
853,Powai,6.85,867
854,Chembur,3.35,1267
855,Bandra East,2.91,1219
856,Borivali West,5.97,1133
857,Bandra East,7.37,1558
858,Powai,2.22,616
859,Chembur,1.92,737
860,Borivali West,2.22,1212
861,Bandra East,1.96,1678
862,Andheri West,6.31,1438
863,Chembur,7.48,724
864,Borivali West,2.51,1421
865,Bandra East,7.94,822
866,Powai,1.98,1109
867,Andheri West,3.98,1279
868,Chembur,3.96,1435
869,Powai,3.69,1388
870,Bandra East,8.35,1060
871,Bandra East,7.74,1541
872,Andheri West,4.49,1491
873,Chembur,2.02,1108
874,Chembur,1.57,1621
875,Chembur,8.47,1587
876,Andheri West,6.97,1596
877,Chembur,8.04,1107
878,Bandra East,8.24,684
879,Andheri West,8.3,1529
880,Andheri West,7.98,1375
881,Bandra East,6.96,1263
882,Powai,3.4,1256
883,Borivali West,1.84,1129
884,Powai,1.8,1016
885,Chembur,4.76,1453
886,Worli,2.42,1078
887,Andheri West,2.86,1726
888,Worli,7.41,1207
889,Chembur,4.01,1798
890,Chembur,5.78,1156
891,Powai,5.75,1291
892,Andheri West,4.86,763
893,Borivali West,6.63,1470
894,Chembur,4.02,1732
895,Borivali West,4.16,816
896,Andheri West,3.34,1550
897,Bandra East,1.53,687
898,Andheri West,3.42,1050
899,Borivali West,3.8,1511
900,Powai,2.49,1324
901,Chembur,7.91,797
902,Worli,3.65,809
903,Bandra East,3.7,921
904,Bandra East,7.25,1764
905,Bandra East,2.62,615
906,Worli,2.7,1273
907,Worli,6.66,1017
908,Andheri West,1.3,1382
909,Andheri West,6.52,1068
910,Bandra East,5.8,1722
911,Powai,6.43,873
912,Bandra East,6.66,1533
913,Borivali West,4.82,739
914,Worli,2.29,723
915,Worli,4.98,980
916,Bandra East,6.99,1193
917,Bandra East,8.14,1344
918,Worli,3.37,1651
919,Worli,4.31,1474
920,Bandra East,3.74,899
921,Powai,7.31,1271
922,Bandra East,6.22,1688
923,Chembur,3.29,854
924,Chembur,5.12,990
925,Andheri West,2.71,839
926,Chembur,3.96,824
927,Chembur,8.04,1209
928,Bandra East,4.16,965
929,Andheri West,1.42,903
930,Powai,5.45,1010
931,Andheri West,4.15,1499
932,Chembur,3.4,942
933,Chembur,3.19,841
934,Andheri West,4.01,1676
935,Chembur,2.4,947
936,Powai,7.02,1646
937,Borivali West,4.45,1044
938,Chembur,7.67,1212
939,Borivali West,6.58,1378
940,Andheri West,6.0,731
941,Andheri West,7.79,931
942,Bandra East,8.08,1776
943,Chembur,7.0,1360
944,Andheri West,5.43,897
945,Powai,1.61,1000
946,Worli,8.11,688
947,Andheri West,4.83,728
948,Powai,6.66,1291
949,Powai,6.79,897
950,Worli,1.93,1111
951,Borivali West,7.77,1734
952,Powai,3.26,1597
953,Powai,3.86,761
954,Worli,2.75,1552
955,Andheri West,1.25,1685
956,Borivali West,7.76,1354
957,Bandra East,2.74,998
958,Worli,5.18,1447
959,Powai,7.57,604
960,Bandra East,4.46,933
961,Worli,4.52,1750
962,Chembur,1.81,687
963,Powai,8.01,1523
964,Bandra East,4.42,1568
965,Andheri West,8.41,1565
966,Chembur,8.24,1082
967,Worli,7.16,866
968,Chembur,7.6,1143
969,Bandra East,5.95,1083
970,Worli,6.59,1540
971,Bandra East,5.99,1144
972,Andheri West,3.68,746
973,Andheri West,7.86,1586
974,Powai,3.17,1245
975,Borivali West,7.82,1035
976,Borivali West,2.94,1627
977,Chembur,3.55,939
978,Borivali West,5.2,1085
979,Borivali West,4.65,912
980,Chembur,5.23,657
981,Chembur,3.43,1618
982,Powai,5.95,1074
983,Worli,8.39,1115
984,Worli,6.41,617
985,Powai,7.18,1670
986,Bandra East,4.55,1622
987,Bandra East,8.23,937
988,Borivali West,8.17,1252
989,Powai,2.36,1654
990,Borivali West,7.83,1608
991,Andheri West,8.31,1223
992,Worli,1.57,1596
993,Powai,7.1,1088
994,Chembur,3.71,1149
995,Powai,1.5,991
996,Powai,5.32,1714
997,Bandra East,3.37,1539
998,Worli,4.12,1097
999,Powai,7.01,1601
1000,Bandra East,2.57,1439
1001,Andheri West,8.19,1395
1002,Andheri West,4.16,847
1003,Chembur,8.33,767
1004,Borivali West,5.44,1199
1005,Worli,4.59,1143
