id,locality,price_cr,sqft
305,Andheri West,2.99,1702
306,Borivali West,7.68,1066
307,Worli,7.22,1108
308,Bandra East,7.15,1368
309,Andheri West,7.56,989
310,Chembur,3.73,1748
311,Chembur,3.1,1702
312,Chembur,3.78,882
313,Borivali West,2.8,1065
314,Borivali West,1.38,1658
315,Borivali West,6.66,1336
316,Bandra East,6.7,706
317,Borivali West,1.46,1593
318,Worli,7.74,778
319,Borivali West,5.03,1081
320,Chembur,7.71,1109
321,Borivali West,8.06,1785
322,Chembur,2.58,742
323,Borivali West,4.21,1604
324,Powai,4.15,1089
325,Bandra East,4.04,1385
326,Powai,1.21,1107
327,Powai,6.96,954
328,Andheri West,4.98,1108
329,Borivali West,2.16,1622
330,Worli,6.83,1183
331,Powai,3.67,810
332,Andheri West,1.37,1706
333,Borivali West,1.8,1670
334,Powai,5.96,1252
335,Chembur,4.99,1668
336,Borivali West,2.01,1387
337,Borivali West,3.9,960
338,Powai,1.57,1547
339,Powai,6.42,1456
340,Powai,1.55,1552
341,Borivali West,3.55,957
342,Bandra East,1.95,1508
343,Andheri West,7.44,976
344,Andheri West,5.66,1175
345,Chembur,5.82,955
346,Bandra East,7.44,846
347,Chembur,6.5,1012
348,Borivali West,5.18,998
349,Andheri West,1.24,985
350,Worli,5.15,643
351,Worli,7.85,1568
352,Powai,6.55,783
353,Andheri West,6.92,1070
354,Chembur,5.5,1591
355,Powai,5.79,661
356,Andheri West,6.49,1322
357,Bandra East,7.54,682
358,Bandra East,2.84,1397
359,Borivali West,6.82,835
360,Chembur,3.16,639
361,Chembur,5.34,1774
362,Bandra East,2.47,904
363,Powai,3.99,610
364,Powai,4.5,1155
365,Bandra East,2.06,765
366,Borivali West,5.58,1163
367,Powai,6.22,1299
368,Bandra East,5.1,1539
369,Bandra East,5.89,1403
370,Bandra East,5.61,797
371,Worli,5.4,1773
372,Andheri West,2.12,1033
373,Chembur,5.14,1102
374,Borivali West,4.46,803
375,Powai,8.45,1636
376,Worli,6.78,804
377,Worli,1.68,787
378,Powai,1.91,677
379,Powai,3.72,1533
380,Andheri West,1.76,1751
381,Chembur,7.81,776
382,Borivali West,2.36,1608
383,Powai,6.04,1115
384,Powai,8.22,997
385,Bandra East,1.55,1034
386,Chembur,6.21,1520
387,Andheri West,3.88,1706
388,Bandra East,3.77,856
389,Andheri West,6.74,1781
390,Andheri West,2.44,735
391,Andheri West,2.32,1726
392,Powai,2.58,1347
393,Borivali West,4.62,940
394,Bandra East,5.04,610
395,Andheri West,5.33,710
396,Powai,2.26,1695
397,Worli,7.65,961
398,Borivali West,4.93,1340
399,Andheri West,6.82,1171
400,Powai,6.48,1572
401,Andheri West,2.7,637
402,Worli,5.72,977
403,Borivali West,1.77,802
404,Borivali West,1.98,1164
405,Chembur,6.26,1744
406,Chembur,6.25,1245
407,Powai,1.76,1527
408,Bandra East,7.01,909
409,Chembur,7.91,1115
410,Powai,2.22,1285
411,Borivali West,6.95,1129
412,Powai,1.9,1518
413,Powai,4.77,1412
414,Andheri West,8.37,1286
415,Chembur,6.71,992
416,Andheri West,4.2,1135
417,Borivali West,4.09,803
418,Worli,1.28,1532
419,Powai,3.67,1435
420,Andheri West,1.49,618
421,Andheri West,7.21,1092
422,Andheri West,2.17,1562
423,Chembur,3.75,997
424,Borivali West,5.54,1758
425,Andheri West,3.97,1784
426,Powai,3.81,753
427,Andheri West,1.36,748
428,Borivali West,2.43,1607
429,Borivali West,5.96,814
430,Worli,8.33,1548
431,Worli,2.79,1042
432,Worli,3.8,868
433,Powai,2.42,705
434,Worli,7.05,1531
435,Worli,1.39,737
436,Borivali West,7.53,630
437,Borivali West,8.24,1691
438,Powai,4.28,618
439,Borivali West,8.24,1107
440,Powai,1.71,674
441,Chembur,7.86,1769
442,Borivali West,1.47,1601
443,Chembur,4.92,1600
444,Powai,4.14,760
445,Borivali West,6.84,742
446,Borivali West,7.88,1228
447,Powai,7.18,1182
448,Borivali West,5.45,1618
449,Andheri West,2.65,665
450,Powai,2.53,1431
451,Bandra East,5.05,1443
452,Worli,4.8,1308
453,Powai,6.09,1319
454,Chembur,7.8,1291
455,Borivali West,2.86,1731
456,Powai,4.72,1639
457,Chembur,4.51,1367
458,Powai,4.45,962
459,Bandra East,5.27,867
460,Chembur,8.46,1064
461,Powai,6.13,1364
462,Powai,7.04,1649
463,Borivali West,7.17,799
464,Bandra East,6.11,1319
465,Borivali West,5.78,1723
466,Borivali West,3.53,805
467,Chembur,4.17,667
468,Worli,6.79,1489
469,Powai,6.75,1334
470,Chembur,2.68,1570
471,Bandra East,1.46,1280
472,Worli,6.34,631
473,Andheri West,2.64,1757
474,Powai,2.63,945
475,Powai,3.98,1677
476,Andheri West,7.06,1615
477,Bandra East,8.37,1596
478,Worli,8.18,1271
479,Worli,8.39,1203
480,Chembur,2.24,1423
481,Chembur,1.45,1299
482,Andheri West,7.03,1420
483,Worli,4.92,1099
484,Bandra East,4.27,1111
485,Andheri West,2.03,725
486,Chembur,2.68,825
487,Borivali West,6.01,1650
488,Bandra East,5.79,1566
489,Worli,3.61,1647
490,Chembur,4.0,1673
491,Worli,5.43,741
492,Andheri West,5.78,1763
493,Borivali West,1.99,1015
494,Chembur,5.63,1255
495,Chembur,3.24,1793
496,Chembur,1.21,1430
497,Chembur,2.73,972
498,Chembur,7.11,1285
499,Powai,5.04,1233
500,Andheri West,5.87,1307
501,Powai,5.8,767
502,Chembur,1.95,1754
503,Chembur,3.51,807
504,Chembur,3.13,762
505,Bandra East,4.28,626
506,Bandra East,4.83,1052
507,Andheri West,6.3,1425
508,Chembur,3.56,970
509,Borivali West,8.29,796
510,Chembur,1.89,1223
511,Chembur,4.69,1014
512,Chembur,7.24,1058
513,Worli,4.72,858
514,Chembur,6.72,1322
515,Borivali West,2.14,790
516,Borivali West,8.4,802
517,Borivali West,3.67,725
518,Powai,4.18,1795
519,Chembur,2.08,1326
520,Bandra East,2.53,1432
521,Chembur,4.72,1008
522,Chembur,3.32,883
523,Bandra East,6.61,1502
524,Borivali West,6.07,1180
525,Worli,5.93,708
526,Borivali West,4.11,1612
527,Borivali West,7.67,1253
528,Chembur,4.04,1168
529,Powai,5.32,1493
530,Borivali West,3.01,1695
531,Bandra East,2.42,1750
532,Bandra East,2.59,1433
533,Andheri West,6.72,899
534,Andheri West,3.38,1332
535,Borivali West,6.5,1058
536,Chembur,3.71,1267
537,Chembur,2.38,812
538,Worli,3.54,755
539,Borivali West,6.64,989
540,Powai,1.45,1182
541,Powai,3.19,967
542,Andheri West,6.91,1652
543,Chembur,2.15,754
544,Powai,4.23,866
545,Chembur,3.39,675
546,Chembur,6.46,1788
547,Borivali West,6.51,931
548,Worli,4.17,785
549,Worli,6.05,739
550,Chembur,2.23,1473
551,Borivali West,4.04,948
552,Borivali West,6.89,839
553,Borivali West,1.97,611
554,Andheri West,1.84,882
555,Bandra East,3.66,728
556,Bandra East,5.3,788
557,Worli,8.23,1717
558,Borivali West,7.04,1333
559,Borivali West,6.45,777
560,Powai,8.37,666
561,Borivali West,4.49,1545
562,Worli,4.82,677
563,Powai,5.45,1244
564,Andheri West,1.96,861
565,Andheri West,4.33,714
566,Borivali West,7.74,988
567,Andheri West,3.24,707
568,Chembur,2.43,806
569,Bandra East,4.29,717
570,Bandra East,3.21,724
571,Borivali West,6.32,1655
572,Borivali West,8.4,700
573,Borivali West,1.65,1254
574,Borivali West,3.29,1580
575,Andheri West,7.98,1684
576,Borivali West,3.47,1261
577,Chembur,7.39,1477
578,Bandra East,6.47,1059
579,Chembur,6.66,1469
580,Andheri West,5.45,1105
581,Powai,4.9,1508
582,Bandra East,7.95,726
583,Bandra East,7.67,1145
584,Borivali West,2.74,1047
585,Worli,2.28,955
586,Andheri West,6.92,662
587,Borivali West,6.58,1233
588,Worli,7.67,1618
589,Worli,1.43,1198
590,Borivali West,3.75,1676
591,Worli,3.13,1632
592,Worli,6.69,1539
593,Bandra East,1.43,1027
594,Powai,4.09,1126
595,Powai,4.17,885
596,Chembur,6.51,1670
597,Borivali West,3.95,1772
598,Worli,1.62,981
599,Andheri West,4.16,1153
600,Chembur,1.64,1355
601,Bandra East,1.55,1401
602,Powai,1.45,801
603,Powai,3.63,1303
604,Chembur,6.94,955
605,Worli,3.89,1598
606,Bandra East,4.95,829
607,Powai,6.41,1574
608,Borivali West,1.3,1638
609,Andheri West,7.43,918
610,Borivali West,3.02,1210
611,Powai,5.69,613
612,Chembur,6.49,1064
613,Powai,6.68,1800
614,Worli,3.89,1180
615,Powai,3.39,1491
616,Powai,3.66,1681
617,Chembur,2.36,1331
618,Powai,2.41,800
619,Powai,5.82,1673
620,Bandra East,2.32,698
621,Andheri West,3.23,1642
622,Powai,3.92,986
623,Bandra East,7.85,974
624,Powai,4.72,1116
625,Bandra East,6.09,1501
626,Chembur,4.57,1740
627,Chembur,7.09,1554
628,Powai,3.98,1615
629,Worli,3.6,1290
630,Bandra East,4.53,648
631,Worli,4.11,992
632,Chembur,2.96,723
633,Powai,2.83,1261
634,Andheri West,3.44,1486
635,Worli,4.54,1047
636,Bandra East,7.04,1639
637,Worli,4.35,1076
638,Bandra East,2.97,1675
639,Worli,2.22,893
640,Worli,6.54,1014
641,Powai,3.42,1389
642,Andheri West,8.26,1421
643,Chembur,7.52,1606
644,Andheri West,5.35,1777
645,Borivali West,2.23,1580
646,Bandra East,2.31,1002
647,Andheri West,4.34,1117
648,Worli,2.67,1099
649,Chembur,1.2,1245
650,Bandra East,6.39,764
651,Worli,5.79,1761
652,Bandra East,6.23,1561
653,Andheri West,8.49,879
654,Andheri West,4.44,1133
655,Bandra East,7.16,698
656,Andheri West,2.83,1021
657,Powai,6.8,797
658,Borivali West,2.93,1678
659,Chembur,5.83,1797
660,Borivali West,3.69,1285
661,Worli,8.36,1315
662,Worli,8.24,1585
663,Powai,8.21,1306
664,Powai,3.62,1182
665,Andheri West,5.66,1594
666,Worli,8.19,854
667,Bandra East,4.26,1702
668,Borivali West,2.98,1261
669,Powai,3.44,1565
670,Powai,7.46,1551
671,Worli,4.43,1174
672,Powai,6.19,1615
673,Worli,4.39,644
674,Borivali West,3.78,1173
675,Worli,1.62,990
676,Chembur,6.06,1471
677,Andheri West,3.07,1168
678,Bandra East,7.95,704
679,Borivali West,4.52,687
680,Chembur,4.09,1078
681,Bandra East,1.93,1650
682,Chembur,3.48,924
683,Andheri West,2.49,1464
684,Borivali West,4.95,1504
685,Chembur,3.7,894
686,Bandra East,5.91,1569
687,Worli,2.07,1508
688,Bandra East,3.21,1293
689,Borivali West,8.37,1254
690,Chembur,2.39,728
691,Worli,5.48,685
692,Powai,3.69,865
693,Bandra East,6.13,1254
694,Powai,8.11,1392
695,Borivali West,3.73,1268
696,Powai,1.95,721
697,Bandra East,6.78,1657
698,Chembur,3.89,783
699,Chembur,2.39,889
700,Andheri West,2.34,1406
701,Worli,5.89,975
702,Worli,1.75,1504
703,Borivali West,2.6,660
704,Borivali West,6.83,1524
705,Chembur,4.56,1332
706,Borivali West,3.66,1005
707,Bandra East,4.87,1689
708,Andheri West,7.53,1065
709,Andheri West,7.93,600
710,Bandra East,2.84,1389
711,Andheri West,1.28,1566
712,Chembur,6.12,1101
713,Powai,6.57,1497
714,Andheri West,6.6,1707
715,Worli,4.13,1234
716,Bandra East,7.55,1538
717,Powai,2.11,932
718,Bandra East,2.29,1386
719,Chembur,2.04,1399
720,Borivali West,7.85,1231
721,Borivali West,7.68,1790
722,Andheri West,1.26,1564
723,Worli,5.43,1678
724,Andheri West,1.83,930
725,Worli,3.69,1418
726,Powai,2.94,1696
727,Andheri West,6.65,1253
728,Bandra East,3.63,1788
729,Powai,7.44,1609
730,Borivali West,8.18,728
731,Powai,1.66,1199
732,Powai,6.79,1390
733,Worli,2.32,1714
734,Bandra East,7.68,1275
735,Borivali West,3.62,649
736,Powai,3.14,766
737,Andheri West,7.41,1617
738,Andheri West,4.49,1476
739,Borivali West,3.11,1441
740,Bandra East,3.35,931
741,Chembur,4.93,677
742,Chembur,4.26,1204
743,Chembur,4.26,813
744,Chembur,5.61,1722
745,Andheri West,6.9,1693
746,Andheri West,2.57,1693
747,Bandra East,7.89,912
748,Chembur,2.42,1672
749,Borivali West,4.36,763
750,Chembur,4.33,1455
751,Powai,8.22,1685
752,Powai,5.04,1036
753,Bandra East,1.83,1716
754,Borivali West,7.29,1538
755,Worli,6.91,815
756,Powai,6.62,1096
757,Powai,5.6,676
758,Andheri West,4.97,1438
759,Borivali West,1.75,712
760,Chembur,2.58,1017
761,Borivali West,1.3,1409
762,Chembur,5.63,1245
763,Chembur,6.22,1229
764,Chembur,6.81,1366
765,Borivali West,7.65,978
766,Bandra East,6.98,1369
767,Andheri West,3.76,1104
768,Bandra East,2.16,1237
769,Borivali West,3.82,1632
770,Powai,5.65,1452
771,Andheri West,3.59,1699
772,Powai,5.06,1785
773,Borivali West,2.08,732
774,Borivali West,7.74,1712
775,Chembur,1.45,1341
776,Powai,2.23,1752
777,Bandra East,1.29,1758
778,Andheri West,2.03,1070
779,Worli,4.1,1757
780,Borivali West,7.22,1343
781,Powai,4.67,697
782,Powai,2.95,1372
783,Powai,6.74,1661
784,Bandra East,6.35,983
785,Chembur,3.65,764
786,Andheri West,3.6,635
787,Chembur,7.54,603
788,Chembur,7.68,1242
789,Powai,5.26,1223
790,Worli,6.58,1516
791,Chembur,1.58,1359
792,Worli,4.04,1135
793,Bandra East,7.25,1005
794,Worli,6.89,1156
795,Bandra East,4.81,1326
796,Andheri West,7.5,1039
797,Chembur,5.79,1646
798,Chembur,1.41,895
799,Chembur,4.69,991
800,Powai,2.14,1046
801,Worli,2.65,1475
802,Chembur,3.54,1756
803,Chembur,5.09,1531
804,Bandra East,4.34,1656
805,Powai,4.04,771
806,Andheri West,5.8,1252
807,Andheri West,8.46,1116
808,Andheri West,1.96,951
809,Powai,1.98,1443
810,Borivali West,2.71,1762
811,Worli,6.52,1267
812,Chembur,4.86,1523
813,Worli,5.95,664
814,Powai,6.88,1204
815,Bandra East,8.23,999
816,Bandra East,4.83,1275
817,Worli,2.09,921
818,Worli,1.95,1149
819,Chembur,7.65,906
820,Powai,2.03,843
821,Powai,3.84,1074
822,Borivali West,2.9,1057
823,Worli,5.14,1065
824,Borivali West,4.72,1131
825,Borivali West,4.25,923
826,Bandra East,6.92,1230
827,Bandra East,3.77,1764
828,Chembur,2.06,1134
829,Chembur,7.75,1251
830,Worli,7.66,1082
831,Chembur,1.93,728
832,Bandra East,5.19,1454
833,Powai,6.17,656
834,Bandra East,7.12,1364
835,Andheri West,4.36,1650
836,Borivali West,6.0,1015
837,Borivali West,6.1,783
838,Powai,6.39,1751
839,Borivali West,7.74,1168
840,Worli,2.11,1791
841,Andheri West,1.94,1287
842,Andheri West,3.87,748
843,Worli,6.63,1607
844,Bandra East,3.87,1446
845,Andheri West,5.12,1644
846,Andheri West,3.32,1732
847,Borivali West,4.66,1153
848,Andheri West,3.02,1090
849,Andheri West,4.31,673
850,Bandra East,7.58,734
851,Bandra East,7.95,1206
852,Chembur,7.57,1358
853,Powai,1.92,1771
854,Andheri West,8.23,1616
855,Chembur,1.7,1588
856,Andheri West,3.94,643
857,Worli,4.24,1426
858,Andheri West,4.08,656
859,Chembur,3.26,1287
860,Worli,2.44,715
861,Worli,4.91,1633
862,Chembur,5.68,1633
863,Powai,2.31,1073
864,Bandra East,6.7,1109
865,Bandra East,3.89,692
866,Borivali West,7.86,1576
867,Borivali West,2.35,878
868,Borivali West,7.13,632
869,Borivali West,7.34,1347
870,Bandra East,2.79,1287
871,Bandra East,1.78,708
872,Powai,1.7,1391
873,Borivali West,7.46,1636
874,Chembur,1.52,1045
875,Worli,6.87,1366
876,Bandra East,4.7,1336
877,Andheri West,7.99,848
878,Bandra East,8.36,687
879,Worli,8.4,1134
880,Chembur,4.36,1282
881,Bandra East,2.59,1003
882,Borivali West,2.37,1727
883,Borivali West,1.74,847
884,Borivali West,5.75,1490
885,Andheri West,4.44,1730
886,Worli,6.78,1715
887,Andheri West,6.24,678
888,Powai,1.77,1133
889,Bandra East,5.17,712
890,Andheri West,8.43,891
891,Powai,3.47,802
892,Chembur,5.27,1090
893,Borivali West,2.47,770
894,Powai,4.86,819
895,Andheri West,4.47,676
896,Chembur,5.09,1541
897,Bandra East,8.17,894
898,Worli,2.47,1640
899,Worli,7.88,1458
900,Andheri West,5.49,1630
901,Powai,5.45,878
902,Chembur,3.88,924
903,Andheri West,4.13,827
904,Worli,2.12,1044
905,Chembur,4.69,1462
906,Worli,6.58,1751
907,Worli,4.41,1297
908,Andheri West,1.88,614
909,Bandra East,4.36,1209
910,Bandra East,8.44,1183
911,Andheri West,4.03,1057
912,Borivali West,4.09,1715
913,Andheri West,8.01,1084
914,Chembur,5.42,1335
915,Worli,1.58,1587
916,Worli,1.85,849
917,Powai,5.1,872
918,Andheri West,5.3,1310
919,Borivali West,5.76,776
920,Worli,1.32,1106
921,Borivali West,7.46,796
922,Powai,1.44,1320
923,Powai,3.27,624
924,Andheri West,7.96,946
925,Bandra East,1.87,828
926,Borivali West,6.09,671
927,Borivali West,5.18,1711
928,Andheri West,1.88,1410
929,Chembur,1.33,945
930,Worli,7.48,1555
931,Andheri West,5.19,1526
932,Worli,7.91,737
933,Worli,1.32,842
934,Andheri West,3.35,1519
935,Chembur,3.6,1265
936,Bandra East,2.48,1370
937,Worli,2.32,917
938,Bandra East,8.42,1319
939,Worli,4.61,992
940,Powai,3.23,1172
941,Chembur,2.77,1758
942,Bandra East,2.96,662
943,Andheri West,1.48,925
944,Chembur,6.13,1006
945,Worli,4.69,1513
946,Chembur,4.64,767
947,Worli,4.78,914
948,Borivali West,7.25,1385
949,Andheri West,5.88,731
950,Borivali West,4.34,1410
951,Chembur,4.36,1309
952,Worli,2.2,1738
953,Worli,6.03,1065
954,Andheri West,2.73,1659
955,Chembur,3.21,808
956,Andheri West,7.57,1191
957,Bandra East,8.28,920
958,Powai,1.41,818
959,Chembur,2.9,1601
960,Borivali West,7.91,1017
961,Bandra East,1.33,674
962,Powai,4.71,1745
963,Andheri West,1.69,1228
964,Chembur,3.63,1090
965,Powai,2.45,923
966,Worli,4.25,1089
967,Borivali West,4.26,1310
968,Bandra East,5.67,1642
969,Worli,3.02,1343
970,Borivali West,6.74,1330
971,Bandra East,6.86,1381
972,Borivali West,6.64,990
973,Worli,3.93,1238
974,Bandra East,2.36,1037
975,Chembur,5.68,613
976,Powai,6.65,1245
977,Bandra East,5.89,609
978,Andheri West,2.03,929
979,Powai,6.77,1177
980,Andheri West,3.95,1247
981,Chembur,7.56,1427
982,Andheri West,5.13,1444
983,Powai,2.58,841
984,Bandra East,4.01,1709
985,Andheri West,4.1,1302
986,Bandra East,6.1,1604
987,Chembur,7.53,1419
988,Powai,8.25,1432
989,Chembur,2.44,1377
990,Borivali West,8.47,1602
991,Andheri West,3.28,1247
992,Andheri West,7.8,647
993,Borivali West,2.01,751
994,Worli,7.84,762
995,Andheri West,7.84,1344
996,Bandra East,5.26,896
997,Worli,4.78,1119
998,Andheri West,4.78,1007
999,Chembur,2.67,1380
1000,Chembur,1.23,700
1001,Andheri West,2.43,637
1002,Bandra East,8.12,1335
1003,Worli,1.91,1033
1004,Andheri West,1.66,738
1005,Chembur,2.08,1117
1006,Bandra East,2.86,687
1007,Borivali West,5.82,1174
1008,Andheri West,6.76,1502
